"","filecoverage","totalcoverage"
"R/checkClass.R",100,66.69
"R/colPercent.R",100,66.69
"R/ds.abs.R",77.78,66.69
"R/ds.asCharacter.R",70.59,66.69
"R/ds.asDataMatrix.R",70.59,66.69
"R/ds.asFactor.R",77.78,66.69
"R/ds.asInteger.R",70.59,66.69
"R/ds.asList.R",100,66.69
"R/ds.asLogical.R",70.59,66.69
"R/ds.asMatrix.R",70.59,66.69
"R/ds.asNumeric.R",70.59,66.69
"R/ds.assign.R",87.5,66.69
"R/ds.Boole.R",71.62,66.69
"R/ds.boxPlotGG_data_Treatment_numeric.R",0,66.69
"R/ds.boxPlotGG_data_Treatment.R",0,66.69
"R/ds.boxPlotGG_numeric.R",0,66.69
"R/ds.boxPlotGG.R",0,66.69
"R/ds.boxPlotGG_table.R",0,66.69
"R/ds.boxPlot.R",0,66.69
"R/ds.cbind.R",77.98,66.69
"R/ds.changeRefGroup.R",91.67,66.69
"R/ds.class.R",100,66.69
"R/ds.colnames.R",90.91,66.69
"R/ds.completeCases.R",69.23,66.69
"R/ds.contourPlot.R",0,66.69
"R/ds.cor.R",97.2,66.69
"R/ds.corTest.R",94.74,66.69
"R/ds.cov.R",96.2,66.69
"R/ds.c.R",94.44,66.69
"R/ds.dataFrameFill.R",79.69,66.69
"R/ds.dataFrame.R",78.05,66.69
"R/ds.dataFrameSort.R",62.75,66.69
"R/ds.dataFrameSubset.R",69.23,66.69
"R/ds.densityGrid.R",0,66.69
"R/ds.dim.R",97.44,66.69
"R/ds.exists.R",100,66.69
"R/ds.exp.R",88.89,66.69
"R/ds.getWGSR.R",60.34,66.69
"R/ds.glmerSLMA.R",78.67,66.69
"R/ds.glmPredict.R",81.67,66.69
"R/ds.glm.R",61.81,66.69
"R/ds.glmSLMA.R",77.94,66.69
"R/ds.glmSummary.R",70.59,66.69
"R/ds.heatmapPlot.R",0,66.69
"R/ds.histogram.R",0,66.69
"R/ds.isNA.R",83.33,66.69
"R/ds.isValid.R",93.75,66.69
"R/ds.kurtosis.R",93.44,66.69
"R/ds.length.R",97.37,66.69
"R/ds.levels.R",93.75,66.69
"R/ds.lexis.R",85.71,66.69
"R/ds.listClientsideFunctions.R",85.96,66.69
"R/ds.listDisclosureSettings.R",100,66.69
"R/ds.listOpals.R",0,66.69
"R/ds.list.R",85,66.69
"R/ds.listServersideFunctions.R",100,66.69
"R/ds.lmerSLMA.R",81.37,66.69
"R/ds.log.R",84.21,66.69
"R/ds.look.R",100,66.69
"R/ds.ls.R",100,66.69
"R/ds.make.R",68,66.69
"R/ds.matrixDet.R",70.91,66.69
"R/ds.matrixDet.report.R",100,66.69
"R/ds.matrixDiag.R",68.75,66.69
"R/ds.matrixDimnames.R",70.59,66.69
"R/ds.matrixInvert.R",70.59,66.69
"R/ds.matrixMult.R",69.81,66.69
"R/ds.matrix.R",67.69,66.69
"R/ds.matrixTranspose.R",70.59,66.69
"R/ds.meanByClass.R",95.83,66.69
"R/ds.mean.R",98.21,66.69
"R/ds.meanSdGp.R",89.38,66.69
"R/ds.merge.R",75.38,66.69
"R/ds.message.R",100,66.69
"R/ds.names.R",100,66.69
"R/ds.numNA.R",100,66.69
"R/ds.quantileMean.R",100,66.69
"R/ds.rbind.R",66.36,66.69
"R/ds.rBinom.R",67.59,66.69
"R/ds.recodeLevels.R",96.97,66.69
"R/ds.recodeValues.R",70.59,66.69
"R/ds.replaceNA.R",82.14,66.69
"R/ds.rep.R",68.97,66.69
"R/ds.reShape.R",70,66.69
"R/ds.rm.R",100,66.69
"R/ds.rNorm.R",66.35,66.69
"R/ds.rowColCalc.R",91.89,66.69
"R/ds.rPois.R",67.35,66.69
"R/ds.rUnif.R",66.02,66.69
"R/ds.sample.R",71.95,66.69
"R/ds.scatterPlot.R",0,66.69
"R/ds.seq.R",72.94,66.69
"R/ds.setDefaultOpals.R",0,66.69
"R/ds.setSeed.R",87.5,66.69
"R/ds.skewness.R",93.44,66.69
"R/ds.sqrt.R",77.78,66.69
"R/ds.subsetByClass.R",96.77,66.69
"R/ds.subset.R",57.78,66.69
"R/ds.summary.R",78.82,66.69
"R/ds.table1D.R",84.21,66.69
"R/ds.table2D.R",82.76,66.69
"R/ds.table.R",80.35,66.69
"R/ds.tapply.assign.R",72.13,66.69
"R/ds.tapply.R",94.12,66.69
"R/ds.testObjExists.R",66.67,66.69
"R/ds.unList.R",70.59,66.69
"R/ds.var.R",100,66.69
"R/ds.vectorCalc.R",90,66.69
"R/extract.R",100,66.69
"R/getPooledMean.R",100,66.69
"R/getPooledVar.R",100,66.69
"R/glmChecks.R",47.62,66.69
"R/isAssigned.R",71.43,66.69
"R/isDefined.R",100,66.69
"R/logical2int.R",28.57,66.69
"R/meanByClassHelper0a.R",88.24,66.69
"R/meanByClassHelper0b.R",85.71,66.69
"R/meanByClassHelper1.R",84.62,66.69
"R/meanByClassHelper2.R",55.36,66.69
"R/meanByClassHelper3.R",76.92,66.69
"R/meanByClassHelper4.R",78.57,66.69
"R/rowPercent.R",100,66.69
"R/subsetHelper.R",77.78,66.69
