"","filecoverage","totalcoverage"
"R/absDS.R",100,28.96
"R/asCharacterDS.R",66.67,28.96
"R/asDataMatrixDS.R",66.67,28.96
"R/asFactorDS1.R",66.67,28.96
"R/asFactorDS2.R",100,28.96
"R/asIntegerDS.R",66.67,28.96
"R/asListDS.R",81.82,28.96
"R/asLogicalDS.R",100,28.96
"R/asMatrixDS.R",66.67,28.96
"R/asNumericDS.R",66.67,28.96
"R/BooleDS.R",74.42,28.96
"R/boxPlotGG_data_TreatmentDS.R",0,28.96
"R/boxPlotGG_data_Treatment_numericDS.R",0,28.96
"R/boxPlotGGDS.R",0,28.96
"R/cbindDS.R",76.47,28.96
"R/cDS.R",62.5,28.96
"R/changeRefGroupDS.R",100,28.96
"R/checkNegValueDS.R",100,28.96
"R/classDS.R",100,28.96
"R/colnamesDS.R",100,28.96
"R/completeCasesDS.R",82.86,28.96
"R/corDS.R",64.24,28.96
"R/corTestDS.R",100,28.96
"R/covDS.R",59.57,28.96
"R/dataFrameDS.R",62.96,28.96
"R/dataFrameFillDS.R",88,28.96
"R/dataFrameSortDS.R",75,28.96
"R/dataFrameSubsetDS1.R",0,28.96
"R/dataFrameSubsetDS2.R",0,28.96
"R/densityGridDS.R",0,28.96
"R/dimDS.R",100,28.96
"R/existsDS.R",100,28.96
"R/extract.R",100,28.96
"R/getEnvironmentDS.R",0,28.96
"R/getWGSRDS.R",79.75,28.96
"R/glmDS1.R",0,28.96
"R/glmDS2.R",0,28.96
"R/glmerSLMADS2.R",0,28.96
"R/glmPredictDS.ag.R",0,28.96
"R/glmPredictDS.as.R",0,28.96
"R/glmSLMADS1.R",0,28.96
"R/glmSLMADS2.R",0,28.96
"R/glmSLMADS.assign.R",0,28.96
"R/glmSummaryDS.ag.R",0,28.96
"R/glmSummaryDS.as.R",0,28.96
"R/heatmapPlotDS.R",0,28.96
"R/histogramDS1.R",0,28.96
"R/histogramDS2.R",0,28.96
"R/isNaDS.R",100,28.96
"R/isNumVariableValidDS.R",100,28.96
"R/isValidDS.R",64.71,28.96
"R/kurtosisDS1.R",89.47,28.96
"R/kurtosisDS2.R",76.92,28.96
"R/lengthDS.R",100,28.96
"R/levelsDS.R",81.82,28.96
"R/lexisDS1.R",0,28.96
"R/lexisDS2.R",0,28.96
"R/lexisDS3.R",0,28.96
"R/listDisclosureSettingsDS.R",100,28.96
"R/listDS.R",100,28.96
"R/lmerSLMADS2.R",0,28.96
"R/lsDS.R",82.93,28.96
"R/matrixDetDS1.R",0,28.96
"R/matrixDetDS2.R",0,28.96
"R/matrixDiagDS.R",0,28.96
"R/matrixDimnamesDS.R",0,28.96
"R/matrixDS.R",0,28.96
"R/matrixInvertDS.R",0,28.96
"R/matrixMultDS.R",0,28.96
"R/matrixTransposeDS.R",0,28.96
"R/meanDS.R",83.33,28.96
"R/meanSdGpDS.R",0,28.96
"R/mergeDS.R",0,28.96
"R/messageDS.R",100,28.96
"R/namesDS.R",70.59,28.96
"R/numNaDS.R",100,28.96
"R/quantileMeanDS.R",87.5,28.96
"R/rangeDS.R",81.82,28.96
"R/rbindDS.R",100,28.96
"R/rBinomDS.R",100,28.96
"R/recodeLevelsDS.R",80,28.96
"R/recodeValuesDS1.R",67.27,28.96
"R/recodeValuesDS2.R",78.95,28.96
"R/removeDS.R",92.86,28.96
"R/repDS.R",0,28.96
"R/replaceNaDS.R",83.33,28.96
"R/reShapeDS.R",0,28.96
"R/rmDS.R",60.87,28.96
"R/rNormDS.R",100,28.96
"R/rowColCalcDS.R",78.57,28.96
"R/rPoisDS.R",100,28.96
"R/rUnifDS.R",100,28.96
"R/sampleDS.R",65.83,28.96
"R/scatterPlotDS.R",0,28.96
"R/seqDS.R",58,28.96
"R/setFilterDS.R",100,28.96
"R/setSeedDS.R",100,28.96
"R/skewnessDS1.R",89.47,28.96
"R/skewnessDS2.R",76.92,28.96
"R/sqrtDS.R",100,28.96
"R/subsetByClassDS.R",95.45,28.96
"R/subsetByClassHelper1.R",61.9,28.96
"R/subsetByClassHelper2.R",67.74,28.96
"R/subsetByClassHelper3.R",63.33,28.96
"R/subsetDS.R",38.46,28.96
"R/table1DDS.R",0,28.96
"R/table2DDS.R",0,28.96
"R/tableDS2.R",0,28.96
"R/tableDS.assign.R",0,28.96
"R/tableDS.R",0,28.96
"R/tapplyDS.assign.R",27.12,28.96
"R/tapplyDS.R",59.38,28.96
"R/testObjExistsDS.R",100,28.96
"R/unListDS.R",66.67,28.96
"R/varDS.R",78.57,28.96
"R/whereDS.R",0,28.96
